2025-12-14 13:51:25,597 - INFO - risk_monitor - Connected ccxt exchange 'kraken' (id=kraken, 1405 markets)
2025-12-14 13:51:28,784 - INFO - risk_monitor - Connected ccxt exchange 'bitget_spot' (id=bitget, 1396 markets)
2025-12-14 13:51:31,775 - INFO - risk_monitor - Connected ccxt exchange 'bitget_futures' (id=bitget, 1396 markets)
2025-12-14 13:51:31,775 - INFO - risk_monitor - Building dynamic trading universe from exchange markets
2025-12-14 13:51:31,776 - INFO - risk_monitor - Capping symbols for kraken from 587 to 120
2025-12-15 01:11:47,326 - INFO - risk_monitor - Risk score 72.0 (TRADE) | spreads 95.8bps | volume $460791733 | latency kraken:942ms, bitget_spot:264ms, bitget_futures:258ms
2025-12-15 01:20:15,310 - INFO - risk_monitor - Risk score 74.0 (TRADE) | spreads 101.3bps | volume $461499433 | latency kraken:947ms, bitget_spot:261ms, bitget_futures:258ms
2025-12-15 01:28:44,047 - INFO - risk_monitor - Risk score 74.0 (TRADE) | spreads 97.6bps | volume $465433732 | latency kraken:944ms, bitget_spot:260ms, bitget_futures:263ms
2025-12-15 01:37:14,159 - INFO - risk_monitor - Risk score 71.0 (TRADE) | spreads 95.9bps | volume $464449829 | latency kraken:946ms, bitget_spot:258ms, bitget_futures:270ms
2025-12-15 01:45:44,393 - INFO - risk_monitor - Risk score 73.0 (TRADE) | spreads 95.1bps | volume $462962486 | latency kraken:944ms, bitget_spot:262ms, bitget_futures:265ms
2025-12-15 01:54:12,597 - INFO - risk_monitor - Risk score 70.0 (TRADE) | spreads 93.2bps | volume $464752516 | latency kraken:946ms, bitget_spot:264ms, bitget_futures:258ms
2025-12-15 02:02:40,789 - INFO - risk_monitor - Risk score 71.0 (TRADE) | spreads 93.3bps | volume $465801171 | latency kraken:946ms, bitget_spot:260ms, bitget_futures:258ms
2025-12-15 02:11:08,621 - INFO - risk_monitor - Risk score 68.0 (TRADE_WITH_CAUTION) | spreads 97.7bps | volume $465786775 | latency kraken:941ms, bitget_spot:254ms, bitget_futures:266ms
2025-12-15 02:19:35,847 - INFO - risk_monitor - Risk score 67.0 (TRADE_WITH_CAUTION) | spreads 89.9bps | volume $466151007 | latency kraken:952ms, bitget_spot:255ms, bitget_futures:260ms
2025-12-15 02:28:03,845 - INFO - risk_monitor - Risk score 66.0 (TRADE_WITH_CAUTION) | spreads 90.5bps | volume $467027819 | latency kraken:944ms, bitget_spot:264ms, bitget_futures:253ms
2025-12-15 02:36:29,909 - INFO - risk_monitor - Risk score 66.0 (TRADE_WITH_CAUTION) | spreads 98.6bps | volume $471149232 | latency kraken:950ms, bitget_spot:256ms, bitget_futures:253ms
2025-12-15 02:44:56,712 - INFO - risk_monitor - Risk score 69.0 (TRADE_WITH_CAUTION) | spreads 98.1bps | volume $476245638 | latency kraken:946ms, bitget_spot:252ms, bitget_futures:265ms
